iter	Passed	Remaining
0	22	22731
1	40	20054
2	91	30515
3	106	26555
4	789	157142
5	803	133076
6	815	115712
7	827	102602
8	839	92458
9	851	84311
10	863	77618
11	874	72031
12	887	67351
13	898	63305
14	909	59756
15	921	56664
16	932	53949
17	944	51501
18	955	49352
19	967	47416
20	978	45638
21	989	44009
22	1002	42569
23	1014	41270
24	1026	40034
25	1039	38936
26	1050	37871
27	1061	36864
28	1073	35944
29	1085	35087
30	1096	34287
31	1107	33514
32	1119	32798
33	1130	32114
34	1139	31416
35	1148	30759
36	1157	30132
37	1194	30239
38	1211	29864
39	1221	29324
40	1240	29005
41	1427	32564
42	1453	32347
43	1463	31787
44	1472	31241
45	1481	30727
46	1491	30233
47	1499	29749
48	1509	29305
49	1521	28906
50	1532	28515
51	1541	28105
52	1551	27727
53	1562	27373
54	1573	27037
55	1584	26715
56	1595	26398
57	1604	26067
58	1615	25765
59	1624	25456
60	1635	25169
61	1645	24896
62	1655	24619
63	1665	24360
64	1675	24104
65	1685	23851
66	1695	23610
67	1704	23360
68	1714	23135
69	1723	22901
70	1732	22669
71	1740	22437
72	1749	22216
73	1757	21993
74	1766	21782
75	1774	21570
76	1782	21367
77	1791	21181
78	1800	20989
79	1809	20808
80	1817	20624
81	1827	20456
82	1836	20288
83	1846	20132
84	1855	19969
85	1864	19815
86	1872	19655
87	1881	19501
88	1889	19343
89	1898	19195
90	1906	19044
91	1915	18901
92	1923	18757
93	1931	18617
94	1938	18469
95	1946	18327
96	1954	18190
97	1962	18064
98	1970	17929
99	1977	17799
100	1984	17668
101	1992	17541
102	2000	17422
103	2008	17304
104	2016	17188
105	2025	17078
106	2033	16968
107	2041	16862
108	2049	16753
109	2058	16651
110	2066	16546
111	2095	16610
112	2117	16621
113	2155	16755
114	2196	16904
115	2266	17274
116	2290	17289
117	2302	17208
118	2354	17433
119	2375	17420
120	2394	17397
121	2455	17673
122	2471	17624
123	2488	17577
124	2514	17598
125	2611	18113
126	2626	18053
127	2718	18522
128	2728	18424
129	2794	18699
130	2804	18604
131	2982	19614
132	3070	20016
133	3085	19942
134	3095	19833
135	3109	19754
136	3203	20176
137	3250	20304
138	3267	20236
139	3312	20348
140	3323	20246
141	3511	21214
142	3561	21346
143	3577	21264
144	3591	21179
145	3610	21119
146	3643	21141
147	3657	21055
148	3670	20963
149	3691	20920
150	3751	21092
151	3770	21034
152	3959	21919
153	4383	24081
154	4735	25816
155	5079	27478
156	5447	29249
157	5474	29176
158	5497	29075
159	5516	28959
160	5537	28857
161	5562	28771
162	5590	28704
163	5610	28602
164	5633	28508
165	5657	28426
166	5679	28327
167	5699	28226
168	5719	28125
169	5736	28006
170	5749	27873
171	5762	27741
172	5775	27610
173	5789	27481
174	5801	27351
175	5814	27224
176	5830	27108
177	5842	26982
178	5866	26905
179	7371	33581
180	8300	37558
181	8377	37650
182	8384	37430
183	8392	37219
184	8399	37002
185	8407	36793
186	8413	36579
187	8421	36375
188	8428	36165
189	8434	35958
190	8442	35759
191	8449	35557
192	8457	35363
193	8463	35164
194	8471	34973
195	8478	34779
196	8485	34586
197	8493	34401
198	8499	34212
199	8507	34030
200	8513	33843
201	8521	33664
202	8527	33481
203	8534	33300
204	8541	33125
205	8548	32949
206	8556	32778
207	8562	32604
208	8569	32433
209	8576	32264
210	8585	32102
211	8602	31976
212	8621	31854
213	8628	31692
214	8664	31634
215	8724	31667
216	8731	31507
217	8748	31381
218	8756	31227
219	8763	31071
220	8771	30917
221	8777	30761
222	8784	30608
223	8791	30456
224	8798	30305
225	8805	30155
226	8811	30006
227	8818	29860
228	8825	29715
229	8833	29572
230	8841	29432
231	8848	29291
232	8856	29153
233	8863	29014
234	8874	28888
235	8885	28764
236	8892	28629
237	8899	28493
238	8906	28359
239	8913	28225
240	8920	28092
241	8926	27960
242	8933	27828
243	8939	27698
244	8946	27569
245	8952	27440
246	8959	27314
247	8965	27186
248	8972	27061
249	8979	26937
250	8985	26813
251	8991	26690
252	8998	26568
253	9004	26447
254	9011	26326
255	9018	26210
256	9024	26091
257	9031	25973
258	9039	25860
259	9045	25744
260	9053	25633
261	9059	25518
262	9065	25404
263	9073	25295
264	9079	25183
265	9087	25076
266	9093	24965
267	9101	24859
268	9107	24750
269	9114	24642
270	9121	24537
271	9127	24429
272	9135	24326
273	9141	24221
274	9147	24117
275	9154	24014
276	9161	23912
277	9167	23810
278	9174	23708
279	9180	23607
280	9187	23507
281	9193	23407
282	9199	23308
283	9205	23209
284	9212	23110
285	9218	23014
286	9224	22916
287	9230	22820
288	9236	22723
289	9242	22628
290	9248	22534
291	9254	22440
292	9260	22346
293	9267	22253
294	9273	22160
295	9279	22069
296	9285	21978
297	9291	21888
298	9297	21798
299	9304	21709
300	9310	21620
301	9316	21533
302	9322	21445
303	9329	21358
304	9335	21273
305	9341	21187
306	9348	21102
307	9354	21017
308	9360	20932
309	9367	20849
310	9373	20766
311	9379	20683
312	9385	20600
313	9391	20518
314	9398	20437
315	9404	20356
316	9410	20275
317	9416	20195
318	9422	20115
319	9428	20036
320	9435	19957
321	9441	19879
322	9447	19802
323	9453	19724
324	9460	19647
325	9467	19574
326	9474	19500
327	9482	19426
328	9489	19353
329	9495	19278
330	9501	19204
331	9507	19130
332	9513	19056
333	9519	18982
334	9526	18910
335	9532	18837
336	9538	18765
337	9544	18693
338	9550	18622
339	9556	18551
340	9562	18480
341	9569	18410
342	9575	18340
343	9581	18271
344	9587	18202
345	9593	18134
346	9599	18065
347	9606	17997
348	9612	17929
349	9618	17862
350	9624	17795
351	9630	17729
352	9636	17662
353	9642	17596
354	9649	17531
355	9655	17466
356	9661	17401
357	9667	17336
358	9673	17272
359	9679	17208
360	9685	17144
361	9691	17081
362	9697	17018
363	9703	16955
364	9710	16892
365	9716	16830
366	9722	16768
367	9728	16707
368	9734	16646
369	9740	16585
370	9746	16524
371	9752	16464
372	9758	16403
373	9764	16344
374	9770	16284
375	9776	16225
376	9783	16166
377	9789	16107
378	9795	16049
379	9801	15992
380	9808	15934
381	9814	15878
382	9820	15820
383	9827	15764
384	9833	15707
385	9839	15651
386	9845	15595
387	9851	15539
388	9857	15483
389	9864	15428
390	9870	15373
391	9876	15318
392	9882	15264
393	9889	15211
394	9896	15158
395	9903	15105
396	9909	15051
397	9916	14999
398	9923	14948
399	9931	14897
400	9937	14844
401	9944	14792
402	9951	14742
403	9958	14690
404	9965	14641
405	9972	14590
406	9979	14540
407	9986	14490
408	9993	14441
409	10002	14393
410	10008	14343
411	10016	14295
412	10023	14245
413	10030	14198
414	10038	14151
415	10046	14104
416	10054	14056
417	10061	14008
418	10069	13962
419	10076	13915
420	10084	13869
421	10092	13823
422	10101	13778
423	10109	13734
424	10117	13688
425	10125	13642
426	10133	13597
427	10139	13551
428	10147	13505
429	10154	13460
430	10162	13415
431	10168	13369
432	10175	13324
433	10183	13281
434	10190	13235
435	10197	13191
436	10204	13146
437	10212	13103
438	10218	13058
439	10225	13013
440	10233	12971
441	10240	12928
442	10248	12885
443	10254	12841
444	10262	12799
445	10269	12755
446	10275	12712
447	10282	12669
448	10289	12626
449	10296	12584
450	10302	12541
451	10309	12498
452	10316	12457
453	10323	12415
454	10330	12374
455	10336	12331
456	10344	12290
457	10350	12248
458	10356	12207
459	10364	12167
460	10371	12125
461	10378	12085
462	10384	12044
463	10391	12003
464	10398	11964
465	10405	11923
466	10412	11884
467	10419	11844
468	10426	11805
469	10433	11765
470	10439	11725
471	10447	11687
472	10454	11647
473	10461	11609
474	10467	11569
475	10474	11530
476	10481	11492
477	10487	11453
478	10495	11415
479	10501	11376
480	10507	11337
481	10514	11300
482	10521	11261
483	10528	11224
484	10534	11185
485	10540	11147
486	10546	11109
487	10552	11071
488	10559	11034
489	10565	10997
490	10571	10959
491	10578	10922
492	10584	10885
493	10591	10849
494	10598	10812
495	10604	10775
496	10611	10739
497	10617	10702
498	10623	10665
499	10630	10630
500	10636	10594
501	10643	10558
502	10649	10522
503	10655	10486
504	10662	10451
505	10668	10415
506	10674	10380
507	10681	10344
508	10687	10309
509	10694	10275
510	10700	10239
511	10706	10204
512	10714	10171
513	10720	10136
514	10727	10102
515	10733	10068
516	10740	10034
517	10746	10000
518	10753	9966
519	10760	9932
520	10766	9898
521	10773	9865
522	10780	9832
523	10786	9798
524	10793	9765
525	10799	9731
526	10805	9698
527	10813	9666
528	10819	9632
529	10826	9600
530	10832	9567
531	10838	9534
532	10845	9502
533	10851	9469
534	10858	9437
535	10864	9405
536	10870	9372
537	10876	9340
538	10882	9307
539	10888	9275
540	10896	9245
541	10903	9213
542	10911	9183
543	10917	9151
544	10924	9120
545	10931	9089
546	10937	9058
547	10944	9027
548	10950	8995
549	10958	8965
550	10964	8934
551	10970	8903
552	10977	8873
553	10983	8842
554	10991	8812
555	10997	8782
556	11003	8751
557	11010	8721
558	11017	8691
559	11024	8661
560	11030	8631
561	11036	8601
562	11044	8572
563	11050	8542
564	11058	8513
565	11064	8484
566	11070	8454
567	11078	8425
568	11084	8396
569	11092	8367
570	11099	8339
571	11106	8310
572	11114	8282
573	11122	8254
574	11130	8227
575	11139	8199
576	11147	8172
577	11154	8144
578	11162	8116
579	11169	8088
580	11177	8061
581	11184	8032
582	11192	8005
583	11198	7976
584	11205	7949
585	11212	7921
586	11218	7893
587	11225	7865
588	11232	7837
589	11239	7810
590	11246	7783
591	11252	7755
592	11259	7728
593	11266	7700
594	11273	7673
595	11279	7646
596	11286	7618
597	11292	7591
598	11298	7564
599	11305	7537
600	11311	7509
601	11317	7482
602	11324	7455
603	11330	7428
604	11336	7401
605	11342	7374
606	11348	7347
607	11355	7321
608	11362	7294
609	11369	7269
610	11375	7242
611	11381	7215
612	11387	7189
613	11393	7162
614	11399	7136
615	11406	7110
616	11412	7084
617	11418	7057
618	11424	7031
619	11430	7005
620	11436	6980
621	11442	6954
622	11448	6928
623	11455	6902
624	11461	6877
625	11468	6851
626	11474	6826
627	11480	6800
628	11487	6775
629	11493	6749
630	11499	6724
631	11505	6699
632	11511	6674
